Start Scrape Debug
Elem: div | Class: None | Text: Overview : You’re moving with your best friend to 
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Thread Updated
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Release Date
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Developer
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: Patreon
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: SubscribeStar
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: Itch.io
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: Discord
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: Twitter
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Censored
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Version
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: OS
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Language
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: VNBD
Elem: a | Class: ['link', 'link--external', 'has-favicon'] | Text: Link
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Other Games
Elem: a | Class: ['link', 'link--internal', 'has-favicon'] | Text: Once in a Lifetime
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Genre
Elem: br | Class: None | Text: 
Elem: div | Class: ['bbCodeSpoiler'] | Text: Spoiler 3DCG, Male protagonist, Sci-fi, Animated, 
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Installation
Elem: br | Class: None | Text: 
Elem: div | Class: ['bbCodeSpoiler'] | Text: Spoiler 1. Extract and run.
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Changelog
Elem: br | Class: None | Text: 
Elem: div | Class: ['bbCodeSpoiler'] | Text: Spoiler v0.8.6 Public Necessary changes to sound w
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Developer Notes
Elem: br | Class: None | Text: 
Elem: div | Class: ['bbCodeSpoiler'] | Text: Spoiler Credits to Illusion for creating Honey Sel
Elem: br | Class: None | Text: 
Elem: b | Class: None | Text: Fan Signatures
Elem: br | Class: None | Text: 
Elem: div | Class: ['bbCodeSpoiler'] | Text: Spoiler Fan Sigs Fan Sigs 2 Fan Sigs 3 Fan Sigs 4 
Elem: br | Class: None | Text: 
Elem: div | Class: None | Text: DOWNLOAD Win/Linux : AKARIBOX - GDRIVE - GOFILE - 
